"","site","psm_crit","alpha","delta_z"
"647","845",0.41,0.85,1.36683654124804
"648","845",0.42,0.85,1.39901680024725
"649","845",0.43,0.85,1.43109712242271
"650","845",0.44,0.85,1.45789976486852
"651","845",0.45,0.85,1.48687958280226
"652","845",0.46,0.85,1.51565316263562
"653","845",0.47,0.85,1.5451084674566
"654","845",0.48,0.85,1.57589494935454
"655","845",0.49,0.85,1.60616772238261
"656","845",0.5,0.85,1.6359221604144
"657","845",0.1,0.86,-0.105847267687902
"658","845",0.11,0.86,-0.0130662509689122
"659","845",0.12,0.86,0.0705596140150341
"660","845",0.13,0.86,0.150546424680411
