"ID","Z","coho.pres.m","coho.pres.stan","score.coho.pres","numspp.stan","numspp","score.numsp"
2265,-1.78768558519076,0.322151175516297,3518.42,8.00555610496052,2,2,2.04837002309125
2614,-0.023285962758979,0.116580891754651,2874.39,8.00900780298498,2,2,1.00027108128827
328,-0.504499592922147,0.121295381904425,2889.16,8.02014272692715,2,2,1.12005349839131
2112,1.10691158437021,0.18154956643882,3077.93,8.02075265109996,3,3,1.10691158437021
2940,0.338218840739925,0.108792566794968,2849.99,8.0238936544487,3,3,0.338218840739925
2753,0.507919484919728,0.116734104704677,2874.87,8.02491070491108,2,2,1.12159805775559
147,1.13173763540964,0.174160233536498,3054.78,8.03153200275579,2,2,1.51024172747365
2576,-1.09962821643687,0.16696241682171,3032.23,8.03420037221438,2,2,1.4863317982147
2562,-0.510608487308543,0.104141915374371,2835.42,8.0376480629148,2,2,1.12281834118949
553,1.18798626574021,0.16080197945606,3012.93,8.05286281675047,1,1,2.32622255332274
310,-1.29489346000995,0.171865231222559,3047.59,8.05840725663302,2,2,1.63607734315238
129,0.141626275871283,0.0629340156901507,2706.32,8.06386461986293,1,1,2.00500822991258
2565,-0.585083435974864,0.0825293136112529,2767.71,8.06427816322946,3,3,0.585083435974864
2147,0.443947710634268,0.065024734070721,2712.87,8.07274644759899,1,1,2.0486799578698
2635,0.645789219613974,0.0773839120395284,2751.59,8.07403858367145,3,3,0.645789219613974
900,0.471015587902308,0.0612359054940231,2701,8.07806261490675,2,2,1.10537581122755
1050,0.668067343055911,0.0749963435682815,2744.11,8.07823038345149,2,2,1.20262794531716
309,-0.982114957310639,0.107091264662382,2844.66,8.07838523140528,2,2,1.40162398287603
501,-0.677287707329051,0.064916208231119,2712.53,8.0890428259045,1,1,2.11156781527353
2041,-1.17994064886038,0.122345528999399,2892.45,8.08972306442099,1,1,2.32212401366358
2283,0.549038228832535,0.047609528751038,2658.31,8.09658220962442,2,2,1.14080803675271
606,1.5978865678993,0.186800301913688,3094.38,8.09796672924589,3,3,1.5978865678993
857,0.599055141609838,0.049406588977391,2663.94,8.09833548848971,3,3,0.599055141609838
1195,-0.926225134965779,0.0803236855181626,2760.8,8.09837251418131,2,2,1.36304548737097
860,0.686176926035611,0.0512419524412505,2669.69,8.10341702178513,2,2,1.21278142046441
52,-0.845810511318592,0.0638947885642753,2709.33,8.1059088481694,3,3,0.845810511318592
905,0.690235159417961,0.0480851272834122,2659.8,8.10690702944752,3,3,0.690235159417961
2791,1.48603811221061,0.153594586931895,2990.35,8.1092823107693,2,2,1.79117538810203
2672,0.603555500576622,0.0362079317198967,2622.59,8.11183164851221,2,2,1.16802364799532
1537,0.98583958268467,0.0709266245832016,2731.36,8.11473446393614,2,2,1.40423633437819
2350,0.684003862237042,0.0386784905390745,2630.33,8.11575199374881,1,1,2.11373160158881
679,-1.11104705703395,0.0837965123854306,2771.68,8.11814650098412,3,3,1.11104705703395
2070,-1.34935800341113,0.118518397185195,2880.46,8.11993840287365,2,2,1.67951392413688
198,0.262118298648508,0.00974997041218903,2539.7,8.12003662140135,1,1,2.01710336931115
