WADOE_ID	AWM_Imperv_SQ	AWM_Imperv_MG	AWM_Imperv_UG
1052	24.2325971791	17.3947643119	38.6538734717
1059	23.0825617523	15.3060633710	36.7765129166
1060	21.6591339863	16.5138771118	36.0187099641
1062	37.3754610036	33.6394141137	43.3635295540
1064	28.6329387707	29.9109336845	41.6212086537
1066	23.1047553194	11.5333212582	42.0242762391
1067	24.1149043120	25.3008599703	40.7304828436
1071	28.6012060340	30.0672697288	42.2815645571
1073	6.5467873123	6.5467873123	6.5467873123
1077	3.0713157239	3.0713157239	3.0713157239
1078	3.6946318328	3.6946318328	3.6946318328
1079	3.2316663484	3.2316610732	3.2316610732
1082	30.4606989385	25.6056726360	33.1266782137
1088	9.1902566852	8.7578722182	9.3947501513
1090	9.0121684111	7.8948837729	10.0515863491
1091	6.0989363136	6.0989363136	6.1020018158
1094	15.2624862862	14.7931464077	15.1316015781
1102	3.0914153072	2.9777663615	3.1181044078
1109	7.0047945221	6.7646281318	6.6239821290
1122	5.8566960351	5.9582667856	6.0068030035
1124	6.9070268746	5.0081972587	10.0712645103
1126	6.8112352634	6.3488998539	7.3315310099
1127	2.1756361666	2.0343956491	3.4234913840
1130	6.3079565480	5.0886420190	6.6753117068
1133	4.1185592210	4.0230463826	5.2458211351
1136	0.5491965914	0.5491965914	0.5491965914
1137	1.6999650080	0.9084728355	1.8657781395
1139	2.0127496777	1.7557036574	2.3373743258
1141	4.0959672740	2.8892639770	5.4527826591
1144	2.3591636974	2.4610370017	2.2626133604
1145	10.2643139172	9.5288436430	9.6296187615
1146	2.5742463750	2.5402711704	2.5402711704
1147	0.9801243900	0.9801243900	0.9801243900
1148	0.3578819689	0.3578819689	0.3578819689
1149	0.7025833845	0.7025833845	0.7025833845
1151	0.2472342376	0.2472342376	0.2472342376
1152	0.7047213983	0.7047213983	0.7047213983
1153	0.4183596492	0.4183596492	0.4183596492
1154	0.5350641090	0.5350641090	0.5350641090
1156	0.3294272347	0.3294272347	0.3294272347
1158	0.5323601211	0.5323198233	0.5323317158
1160	0.7448864157	0.7448864157	0.7448864157
1162	1.2708532249	1.2708532249	1.2708532249
1172	5.7444487028	4.9078974898	6.3208633297
1178	9.4942960736	12.4135571415	17.6912273896
1188	1.7820086107	1.8579450252	3.0202675691
1189	15.3829037607	21.9585247648	30.0638946436
1190	3.5067925882	1.5653904891	7.1305091819
1192	0.2767104412	0.2767104412	0.2767104412
1193	0.3922389995	0.3922389995	0.3922389995
1195	1.3844416151	0.8752832753	1.8614334656
1204	13.8599606026	14.5492861071	21.5287633872
1205	16.8771737211	15.3284371474	25.2652694312
1206	1.4130272869	1.2773016013	1.1167480467
1207	2.5995875187	0.9878876288	3.0018143628
1209	0.2939368040	0.2637334379	0.3312186552
1210	0.5495822578	0.6904197393	3.0486108784
1211	1.5222214668	0.7927642804	2.5441129578
1216	7.3633676243	3.0032744085	11.3599580043
1217	1.9174472870	0.5604862261	4.2573088927
1218	2.7340937436	0.8664847393	3.9421360047
1219	1.1216285788	0.5052701713	2.2528993697
1220	9.3183737663	7.1897440240	22.4095631235
1223	0.2393024690	0.2393024690	0.2393024690
1224	0.2821072450	0.2821072450	0.2821072450
1225	6.9081359960	6.4594152858	11.3245773387
1230	0.3498708783	0.2703926225	0.6107151314
1231	0.3044957746	0.2641995227	0.2899566425
